Author,abundance_FC,abundance_WC,according_FC,according_WC,again_FC,again_WC,all_FC,all_WC,also_FC,also_WC,among_FC,among_WC,an_FC,an_WC,and_FC,and_WC,anything_FC,anything_WC,are_FC,are_WC,as_FC,as_WC,be_FC,be_WC,became_FC,became_WC,because_FC,because_WC,becometh_FC,becometh_WC,been_FC,been_WC,being_FC,being_WC,but_FC,but_WC,by_FC,by_WC,cometh_FC,cometh_WC,could_FC,could_WC,did_FC,did_WC,didst_FC,didst_WC,do_FC,do_WC,doeth_FC,doeth_WC,each_FC,each_WC,ever_FC,ever_WC,every_FC,every_WC,for_FC,for_WC,forth_FC,forth_WC,from_FC,from_WC,god_FC,god_WC,had_FC,had_WC,hast_FC,hast_WC,hath_FC,hath_WC,have_FC,have_WC,he_FC,he_WC,hence_FC,hence_WC,henceforth_FC,henceforth_WC,her_FC,her_WC,him_FC,him_WC,himself_FC,himself_WC,his_FC,his_WC,how_FC,how_WC,if_FC,if_WC,in_FC,in_WC,inasmuch_FC,inasmuch_WC,into_FC,into_WC,is_FC,is_WC,it_FC,it_WC,lest_FC,lest_WC,let_FC,let_WC,like_FC,like_WC,lord_FC,lord_WC,make_FC,make_WC,man_FC,man_WC,many_FC,many_WC,may_FC,may_WC,me_FC,me_WC,more_FC,more_WC,moreover_FC,moreover_WC,much_FC,much_WC,must_FC,must_WC,my_FC,my_WC,neither_FC,neither_WC,no_FC,no_WC,not_FC,not_WC,notwithstanding_FC,notwithstanding_WC,now_FC,now_WC,of_FC,of_WC,oft_FC,oft_WC,once_FC,once_WC,one_FC,one_WC,or_FC,or_WC,other_FC,other_WC,ought_FC,ought_WC,our_FC,our_WC,out_FC,out_WC,outward_FC,outward_WC,said_FC,said_WC,say_FC,say_WC,seemeth_FC,seemeth_WC,seest_FC,seest_WC,shall_FC,shall_WC,shalt_FC,shalt_WC,should_FC,should_WC,shouldst_FC,shouldst_WC,soever_FC,soever_WC,some_FC,some_WC,such_FC,such_WC,than_FC,than_WC,that_FC,that_WC,the_FC,the_WC,thee_FC,thee_WC,their_FC,their_WC,them_FC,them_WC,then_FC,then_WC,thence_FC,thence_WC,there_FC,there_WC,thereby_FC,thereby_WC,therefore_FC,therefore_WC,therein_FC,therein_WC,thereof_FC,thereof_WC,thereon_FC,thereon_WC,therewith_FC,therewith_WC,these_FC,these_WC,they_FC,they_WC,thine_FC,thine_WC,those_FC,those_WC,thou_FC,thou_WC,throughout_FC,throughout_WC,thus_FC,thus_WC,thy_FC,thy_WC,thyself_FC,thyself_WC,till_FC,till_WC,to_FC,to_WC,unto_FC,unto_WC,upon_FC,upon_WC,upward_FC,upward_WC,upwards_FC,upwards_WC,verily_FC,verily_WC,was_FC,was_WC,we_FC,we_WC,were_FC,were_WC,what_FC,what_WC,whatsoever_FC,whatsoever_WC,when_FC,when_WC,whence_FC,whence_WC,where_FC,where_WC,whereby_FC,whereby_WC,wherefore_FC,wherefore_WC,wherein_FC,wherein_WC,whereof_FC,whereof_WC,whereon_FC,whereon_WC,wheresoever_FC,wheresoever_WC,wherewith_FC,wherewith_WC,wherewithal_FC,wherewithal_WC,which_FC,which_WC,whither_FC,whither_WC,who_FC,who_WC,whom_FC,whom_WC,whose_FC,whose_WC,whoso_FC,whoso_WC,whosoever_FC,whosoever_WC,will_FC,will_WC,with_FC,with_WC,without_FC,without_WC,would_FC,would_WC,ye_FC,ye_WC,yea_FC,yea_WC,yet_FC,yet_WC,your_FC,your_WC,a_percentage_use,b_percentage_use,c_percentage_use,d_percentage_use,e_percentage_use,f_percentage_use,g_percentage_use,h_percentage_use,i_percentage_use,j_percentage_use,k_percentage_use,l_percentage_use,m_percentage_use,n_percentage_use,o_percentage_use,p_percentage_use,q_percentage_use,r_percentage_use,s_percentage_use,t_percentage_use,u_percentage_use,v_percentage_use,w_percentage_use,x_percentage_use,y_percentage_use,z_percentage_use,â_percentage_use,Function_Word_Use,Total_Word_Count,Total_Function_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse
moroni,0.0,0.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,1.5270078099453233,0.8333333333333334,0.0,0.0,0.0,0.0,12.979566384535246,7.083333333333333,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,0.0,0.0,1.5270078099453233,0.8333333333333334,0.7635039049726616,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,0.0,0.0,0.0,0.0,2.2905117149179848,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5270078099453233,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.8175195248633074,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,9.9255507646446,5.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.2905117149179848,1.25,0.0,0.0,7.635039049726615,4.166666666666666,0.0,0.0,0.0,0.0,5.344527334808631,2.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.8175195248633074,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,1.5270078099453233,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,5.344527334808631,2.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5270078099453233,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0540156198906465,1.6666666666666667,9.162046859671939,5.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.108031239781293,3.3333333333333335,1.5270078099453233,0.8333333333333334,1.5270078099453233,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.2905117149179848,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5270078099453233,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2905117149179848,1.25,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2905117149179848,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635039049726616,0.4166666666666667,0.0,0.0,0.0766932270916334,0.0159362549800796,0.0219123505976095,0.0567729083665338,0.1364541832669322,0.0169322709163346,0.0229083665338645,0.0946215139442231,0.0627490039840637,0.0019920318725099,0.0069721115537848,0.0288844621513944,0.0298804780876494,0.0627490039840637,0.0627490039840637,0.0159362549800796,0.0,0.0507968127490039,0.0547808764940239,0.0876494023904382,0.0229083665338645,0.0059760956175298,0.0219123505976095,0.0039840637450199,0.0129482071713147,0.0,0.0,0.5457295816733067,240,130.9750996015936,4.183333333333334,34.285714285714285
mormon,0.0,0.0,0.6194883937113239,0.3501750875437719,0.17699668391752113,0.10005002501250625,1.3274751293814084,0.750375187593797,1.7699668391752112,1.0005002501250626,0.9734817615463662,0.5502751375687844,0.17699668391752113,0.10005002501250625,10.354306009174987,5.852926463231616,0.0,0.0,0.4424917097938028,0.25012506253126565,0.17699668391752113,0.10005002501250625,1.0619801035051268,0.6003001500750376,0.0,0.0,0.4424917097938028,0.25012506253126565,0.0,0.0,0.2654950258762817,0.1500750375187594,0.0,0.0,0.6194883937113239,0.3501750875437719,0.6194883937113239,0.3501750875437719,0.0,0.0,0.35399336783504226,0.2001000500250125,1.3274751293814084,0.750375187593797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08849834195876057,0.05002501250625312,0.2654950258762817,0.1500750375187594,1.8584651811339719,1.0505252626313157,0.0,0.0,0.17699668391752113,0.10005002501250625,0.7964850776288451,0.4502251125562781,0.7964850776288451,0.4502251125562781,0.0,0.0,0.08849834195876057,0.05002501250625312,0.35399336783504226,0.2001000500250125,3.008943626597859,1.7008504252126064,0.0,0.0,0.0,0.0,0.0,0.0,1.0619801035051268,0.6003001500750376,0.0,0.0,1.2389767874226478,0.7003501750875438,0.08849834195876057,0.05002501250625312,0.6194883937113239,0.3501750875437719,2.7434486007215773,1.5507753876938468,0.0,0.0,0.5309900517525634,0.3001500750375188,0.4424917097938028,0.25012506253126565,1.9469635230927325,1.1005502751375689,0.0,0.0,0.0,0.0,0.0,0.0,0.5309900517525634,0.3001500750375188,0.08849834195876057,0.05002501250625312,0.8849834195876056,0.5002501250625313,0.7964850776288451,0.4502251125562781,0.08849834195876057,0.05002501250625312,0.0,0.0,0.17699668391752113,0.10005002501250625,0.0,0.0,0.17699668391752113,0.10005002501250625,0.0,0.0,0.0,0.0,0.08849834195876057,0.05002501250625312,0.7079867356700845,0.400200100050025,0.5309900517525634,0.3001500750375188,0.0,0.0,1.415973471340169,0.80040020010005,10.796797718968788,6.103051525762881,0.0,0.0,0.08849834195876057,0.05002501250625312,0.08849834195876057,0.05002501250625312,0.17699668391752113,0.10005002501250625,0.0,0.0,0.0,0.0,0.0,0.0,0.17699668391752113,0.10005002501250625,0.0,0.0,0.17699668391752113,0.10005002501250625,0.08849834195876057,0.05002501250625312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6194883937113239,0.3501750875437719,0.0,0.0,0.0,0.0,0.0,0.0,0.17699668391752113,0.10005002501250625,0.08849834195876057,0.05002501250625312,2.654950258762817,1.500750375187594,16.549189946288227,9.354677338669335,0.0,0.0,2.7434486007215773,1.5507753876938468,1.2389767874226478,0.7003501750875438,0.0,0.0,0.0,0.0,1.1504784454638874,0.6503251625812907,0.0,0.0,0.5309900517525634,0.3001500750375188,0.0,0.0,0.08849834195876057,0.05002501250625312,0.0,0.0,0.0,0.0,0.17699668391752113,0.10005002501250625,2.5664519168040565,1.4507253626813406,0.0,0.0,0.0,0.0,0.0,0.0,0.2654950258762817,0.1500750375187594,0.8849834195876056,0.5002501250625313,0.0,0.0,0.0,0.0,0.0,0.0,4.955907149690591,2.8014007003501753,1.1504784454638874,0.6503251625812907,0.4424917097938028,0.25012506253126565,0.0,0.0,0.0,0.0,0.0,0.0,3.274438652474141,1.8509254627313656,0.2654950258762817,0.1500750375187594,2.1239602070102537,1.2006003001500751,0.0,0.0,0.08849834195876057,0.05002501250625312,0.4424917097938028,0.25012506253126565,0.0,0.0,0.08849834195876057,0.05002501250625312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6194883937113239,0.3501750875437719,0.0,0.0,0.5309900517525634,0.3001500750375188,0.0,0.0,0.08849834195876057,0.05002501250625312,0.0,0.0,0.0,0.0,0.0,0.0,0.35399336783504226,0.2001000500250125,0.0,0.0,0.35399336783504226,0.2001000500250125,0.0,0.0,1.415973471340169,0.80040020010005,0.08849834195876057,0.05002501250625312,0.0,0.0,0.0910268487988695,0.0127178520960904,0.0183702308054639,0.0479274611398963,0.1328308996702779,0.0261422515308525,0.0177814413565708,0.0760715967969854,0.0507536504945831,0.0040037682524729,0.0028261893546867,0.037329251059821,0.0295572303344324,0.0718323127649552,0.0710080075365049,0.0183702308054639,0.0004710315591144,0.0527555346208196,0.0506358926048045,0.0877296278850683,0.0216674517192651,0.0074187470560527,0.0195478097032501,0.0007065473386716,0.0135421573245407,0.0007065473386716,0.0009420631182289,0.5652649688009335,1999,1129.964672633066,4.248124062031016,41.6875
abinadom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
nephi,0.0,0.0,0.0,0.0,0.0,0.0,0.793859690352419,0.45662100456621,0.793859690352419,0.45662100456621,0.793859690352419,0.45662100456621,0.0,0.0,14.686404271519752,8.447488584474886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793859690352419,0.45662100456621,0.0,0.0,0.0,0.0,1.1907895355286284,0.684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3969298451762095,0.228310502283105,1.587719380704838,0.91324200913242,0.793859690352419,0.45662100456621,2.381579071057257,1.36986301369863,0.793859690352419,0.45662100456621,0.0,0.0,0.0,0.0,0.0,0.0,1.1907895355286284,0.684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.3969298451762095,0.228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793859690352419,0.45662100456621,0.0,0.0,0.0,0.0,0.0,0.0,4.763158142114514,2.73972602739726,0.0,0.0,0.0,0.0,0.3969298451762095,0.228310502283105,1.587719380704838,0.91324200913242,0.0,0.0,0.793859690352419,0.45662100456621,1.9846492258810478,1.141552511415525,0.0,0.0,1.587719380704838,0.91324200913242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9846492258810478,1.141552511415525,0.0,0.0,0.0,0.0,0.3969298451762095,0.228310502283105,0.0,0.0,0.0,0.0,7.938596903524191,4.5662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793859690352419,0.45662100456621,0.0,0.0,0.0,0.0,1.587719380704838,0.91324200913242,0.0,0.0,2.381579071057257,1.36986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.541667058347981,4.337899543378995,14.686404271519752,8.447488584474886,0.0,0.0,0.793859690352419,0.45662100456621,1.9846492258810478,1.141552511415525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7785089162334664,1.5981735159817352,0.0,0.0,0.3969298451762095,0.228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.175438761409676,1.82648401826484,2.7785089162334664,1.5981735159817352,3.9692984517620955,2.28310502283105,0.0,0.0,0.0,0.0,0.0,0.0,2.7785089162334664,1.5981735159817352,0.0,0.0,3.175438761409676,1.82648401826484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1907895355286284,0.684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793859690352419,0.45662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0805210183540556,0.0177619893428063,0.0082889283599763,0.0603907637655417,0.137951450562463,0.0189461219656601,0.0183540556542332,0.0740082889283599,0.0532859680284191,0.0,0.0029603315571343,0.0325636471284783,0.0236826524570751,0.0740082889283599,0.0621669626998223,0.0224985198342214,0.0,0.0396684428656009,0.0378922439313203,0.1119005328596802,0.0165778567199526,0.0041444641799881,0.0219064535227945,0.0005920663114268,0.0136175251628182,0.0,0.0,0.5751910698016444,438,251.93368857312024,3.856164383561644,27.375
amaleki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
amaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
chemish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
enos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
jacob,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,10.825688073394502,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,5.412844036697251,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,5.412844036697251,3.225806451612903,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,5.412844036697251,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.119266055045877,4.838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,5.412844036697251,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,8.119266055045877,4.838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7064220183486256,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.0296610169491525,0.0127118644067796,0.0466101694915254,0.1271186440677966,0.0254237288135593,0.0042372881355932,0.059322033898305,0.0466101694915254,0.0084745762711864,0.0084745762711864,0.0338983050847457,0.0508474576271186,0.0805084745762711,0.0805084745762711,0.0084745762711864,0.0,0.0254237288135593,0.0635593220338983,0.0847457627118644,0.0211864406779661,0.0042372881355932,0.0127118644067796,0.0,0.0084745762711864,0.0,0.0042372881355932,0.5959540732640783,62,36.94915254237286,3.806451612903226,31.0
jarom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
