Author,and,in,that,the,upon,which,of,from,henceforth,as,thou,hast,be,all,many,will,god,was,to,for,because,my,are,shall,have,again,his,these,were,it,not,our,we,should,had,unto,therefore,by,much,whereon,lest,those,wherein,ever,but,notwithstanding,whereby,out,each,her,their,let,whom,other,throughout,me,thence,said,like,could,such,thy,did,where,shalt,more,thereof,among,what,into,he,ye,then,when,whence,yea,without,every,who,how,didst,verily,whoso,with,whereunto,thee,there,whereof,one,say,yet,wheresoever,inasmuch,your,no,him,neither,do,forth,man,than,according,cometh,wherefore,seemeth,whosoever,hence,would,or,been,them,once,ought,himself,thyself,lord,must,whatsoever,is,they,thine,make,anything,also,may,hath,whose,till,thus,shouldst,some,became,being,an,now,if,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,t_percentage_use,h_percentage_use,y_percentage_use,e_percentage_use,o_percentage_use,l_percentage_use,g_percentage_use,s_percentage_use,f_percentage_use,u_percentage_use,p_percentage_use,m_percentage_use,w_percentage_use,c_percentage_use,b_percentage_use,r_percentage_use,v_percentage_use,k_percentage_use,j_percentage_use,ã_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
"MOSES
",15.0,4.0,3.0,13.0,1.0,2.0,6.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998439937597504,0.0873634945397816,0.062402496099843996,0.0530421216848674,0.0686427457098284,0.07332293291731669,0.0234009360374415,0.1357254290171607,0.06708268330733229,0.0514820592823713,0.031201248049921998,0.057722308892355696,0.0327613104524181,0.014040561622464899,0.0078003120124804995,0.0202808112324493,0.014040561622464899,0.0109204368174727,0.015600624024960999,0.0436817472698908,0.015600624024960999,0.0031201248049922,0.0031201248049922,0,0,0,0,157,4.082802547770701,54.333333333333336,91.99219968798752
"ABRAHAM
",2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10833333333333334,0.09166666666666666,0.03333333333333333,0.025,0.06666666666666667,0.041666666666666664,0.03333333333333333,0.10833333333333334,0.125,0.016666666666666666,0.008333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.016666666666666666,0.025,0.03333333333333333,0.008333333333333333,0.1,0.016666666666666666,0.008333333333333333,0.016666666666666666,0,0,0,0,29,4.137931034482759,31.0,17.983333333333338
"MATTHEW
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
"JOSEPHSMITHHISTORY
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
"ARTICLESOFFAITH
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
