Author,according_FC,according_WC,again_FC,again_WC,all_FC,all_WC,also_FC,also_WC,among_FC,among_WC,an_FC,an_WC,and_FC,and_WC,anything_FC,anything_WC,are_FC,are_WC,as_FC,as_WC,be_FC,be_WC,became_FC,became_WC,because_FC,because_WC,been_FC,been_WC,being_FC,being_WC,but_FC,but_WC,by_FC,by_WC,cometh_FC,cometh_WC,could_FC,could_WC,did_FC,did_WC,didst_FC,didst_WC,do_FC,do_WC,each_FC,each_WC,ever_FC,ever_WC,every_FC,every_WC,for_FC,for_WC,forth_FC,forth_WC,from_FC,from_WC,god_FC,god_WC,had_FC,had_WC,hast_FC,hast_WC,hath_FC,hath_WC,have_FC,have_WC,he_FC,he_WC,hence_FC,hence_WC,henceforth_FC,henceforth_WC,her_FC,her_WC,him_FC,him_WC,himself_FC,himself_WC,his_FC,his_WC,how_FC,how_WC,if_FC,if_WC,in_FC,in_WC,inasmuch_FC,inasmuch_WC,into_FC,into_WC,is_FC,is_WC,it_FC,it_WC,lest_FC,lest_WC,let_FC,let_WC,like_FC,like_WC,lord_FC,lord_WC,make_FC,make_WC,man_FC,man_WC,many_FC,many_WC,may_FC,may_WC,me_FC,me_WC,more_FC,more_WC,much_FC,much_WC,must_FC,must_WC,my_FC,my_WC,neither_FC,neither_WC,no_FC,no_WC,not_FC,not_WC,notwithstanding_FC,notwithstanding_WC,now_FC,now_WC,of_FC,of_WC,one_FC,one_WC,or_FC,or_WC,other_FC,other_WC,our_FC,our_WC,out_FC,out_WC,said_FC,said_WC,say_FC,say_WC,seemeth_FC,seemeth_WC,shall_FC,shall_WC,shalt_FC,shalt_WC,should_FC,should_WC,shouldst_FC,shouldst_WC,some_FC,some_WC,such_FC,such_WC,than_FC,than_WC,that_FC,that_WC,the_FC,the_WC,thee_FC,thee_WC,their_FC,their_WC,them_FC,them_WC,then_FC,then_WC,thence_FC,thence_WC,there_FC,there_WC,therefore_FC,therefore_WC,thereof_FC,thereof_WC,these_FC,these_WC,they_FC,they_WC,thine_FC,thine_WC,those_FC,those_WC,thou_FC,thou_WC,throughout_FC,throughout_WC,thus_FC,thus_WC,thy_FC,thy_WC,thyself_FC,thyself_WC,till_FC,till_WC,to_FC,to_WC,unto_FC,unto_WC,upon_FC,upon_WC,verily_FC,verily_WC,was_FC,was_WC,we_FC,we_WC,were_FC,were_WC,what_FC,what_WC,whatsoever_FC,whatsoever_WC,when_FC,when_WC,whence_FC,whence_WC,where_FC,where_WC,whereby_FC,whereby_WC,wherefore_FC,wherefore_WC,wherein_FC,wherein_WC,whereof_FC,whereof_WC,whereon_FC,whereon_WC,wheresoever_FC,wheresoever_WC,whereunto_FC,whereunto_WC,which_FC,which_WC,who_FC,who_WC,whom_FC,whom_WC,whose_FC,whose_WC,whoso_FC,whoso_WC,whosoever_FC,whosoever_WC,will_FC,will_WC,with_FC,with_WC,without_FC,without_WC,would_FC,would_WC,ye_FC,ye_WC,yea_FC,yea_WC,yet_FC,yet_WC,your_FC,your_WC,a_percentage_use,b_percentage_use,c_percentage_use,d_percentage_use,e_percentage_use,f_percentage_use,g_percentage_use,h_percentage_use,i_percentage_use,j_percentage_use,k_percentage_use,l_percentage_use,m_percentage_use,n_percentage_use,o_percentage_use,p_percentage_use,q_percentage_use,r_percentage_use,s_percentage_use,t_percentage_use,u_percentage_use,v_percentage_use,w_percentage_use,x_percentage_use,y_percentage_use,z_percentage_use,ã_percentage_use,Function_Word_Use,Total_Word_Count,Total_Function_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse
Moses(P),0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,15.007630998812955,8.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,7.503815499406477,4.0,0.0,0.0,0.0,0.0,5.002543666270984,2.666666666666667,2.501271833135492,1.3333333333333335,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.002543666270984,2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.002543666270984,2.666666666666667,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,10.005087332541969,5.333333333333334,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,2.501271833135492,1.3333333333333335,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.501271833135492,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0915254237288135,0.0169491525423728,0.023728813559322,0.0576271186440678,0.1288135593220339,0.023728813559322,0.0169491525423728,0.0813559322033898,0.0372881355932203,0,0.0033898305084745,0.0372881355932203,0.0542372881355932,0.0813559322033898,0.0745762711864406,0.0169491525423728,0,0.047457627118644,0.0406779661016949,0.0779661016949152,0.0305084745762711,0.0101694915254237,0.0169491525423728,0,0.0101694915254237,0,0,0.5330621468926554,75,39.97966101694916,3.933333333333333,27.0
Abraham(P),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,2.564841498559079,2.127659574468085,10.259365994236315,8.51063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,7.6945244956772365,6.382978723404255,0.0,0.0,0.0,0.0,5.129682997118158,4.25531914893617,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.129682997118158,4.25531914893617,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,7.6945244956772365,6.382978723404255,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6945244956772365,6.382978723404255,2.564841498559079,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898876404494382,0.0,0.0056179775280898,0.0505617977528089,0.1573033707865168,0.0112359550561797,0.0168539325842696,0.0786516853932584,0.0505617977528089,0,0.0168539325842696,0.0561797752808988,0.0337078651685393,0.0617977528089887,0.0786516853932584,0.0056179775280898,0,0.0449438202247191,0.0505617977528089,0.0898876404494382,0.0112359550561797,0.0,0.0730337078651685,0,0.0056179775280898,0,0,0.8295481711690171,47,38.98876404494381,3.787234042553192,49.0
Matthew(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,,0,0.0,0.0,0.0
JosephSmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,,0,0.0,0.0,0.0
